ip,port,protocol,country,anonymity,latency_ms,speed_kbps,score,last_seen
5.253.59.150,1082,socks5,NL,elite,471,0.3,30.8,2026-09-24T07:07:54.694692+00:00
46.8.43.28,3128,http,KZ,anonymous,1047,,30.1,2026-09-24T07:07:54.691328+00:00
57.128.231.218,1001,socks4,PL,elite,505,0.3,29.1,2026-09-24T07:07:54.680963+00:00
192.203.0.118,999,http,PR,elite,1622,,28.4,2026-09-24T07:07:54.693462+00:00
2.56.178.88,808,http,RU,anonymous,1924,,27.5,2026-09-24T07:07:54.688476+00:00
184.75.221.82,3118,http,CA,elite,2380,0.1,27.4,2026-09-24T07:07:54.689691+00:00
45.74.31.22,21288,socks5,NL,anonymous,5723,0.0,27.1,2026-09-24T07:07:54.674786+00:00
36.137.204.11,8002,http,CN,anonymous,2531,0.1,27.0,2026-09-24T07:07:54.684568+00:00
45.74.31.22,9110,socks5,NL,anonymous,2595,,25.8,2026-09-24T07:07:54.851486+00:00
164.92.253.229,3128,http,DE,elite,980,,25.3,2026-09-24T07:07:54.703072+00:00
47.245.165.201,1080,socks5,DE,anonymous,784,0.2,24.4,2026-09-24T07:07:54.700773+00:00
159.195.22.57,80,http,DE,elite,1020,,24.4,2026-09-24T07:07:54.691339+00:00
144.76.61.252,1080,socks4,DE,elite,1247,0.1,24.4,2026-09-24T07:07:54.682239+00:00
45.74.31.40,4018,socks5,NL,elite,1370,,24.4,2026-09-24T07:07:54.674772+00:00
193.164.5.59,11080,socks5,TR,elite,1718,,24.4,2026-09-24T07:07:54.696423+00:00
102.129.229.131,1081,socks4,TH,anonymous,4544,0.0,24.4,2026-09-24T07:07:54.677959+00:00
118.70.151.55,1080,socks5,VN,anonymous,1427,,24.0,2026-09-24T07:07:54.700730+00:00
212.126.5.246,42344,socks4,PL,anonymous,1607,,24.0,2026-09-24T07:07:54.681723+00:00
45.74.31.41,5122,socks5,NL,anonymous,2150,,24.0,2026-09-24T07:07:54.701214+00:00
45.74.31.25,6067,socks5,NL,anonymous,1407,0.1,23.8,2026-09-24T07:07:54.697534+00:00
45.74.31.22,10711,socks5,NL,anonymous,2467,,23.8,2026-09-24T07:07:54.700426+00:00
122.246.4.30,17981,http,CN,elite,2586,,23.6,2026-09-24T07:07:54.690388+00:00
27.185.218.213,17981,http,CN,elite,2725,,23.6,2026-09-24T07:07:54.689764+00:00
43.98.172.166,3128,http,SG,anonymous,1049,,23.3,2026-09-24T07:07:54.692805+00:00
171.4.85.65,5678,socks4,TH,anonymous,1153,0.1,23.3,2026-09-24T07:07:54.667459+00:00
194.150.232.104,1054,socks5,UA,anonymous,1498,,23.2,2026-09-24T07:07:54.851298+00:00
141.148.206.170,1088,socks5,IN,anonymous,2874,0.0,23.1,2026-09-24T07:07:54.694761+00:00
45.74.31.42,38002,socks5,NL,anonymous,2582,,23.0,2026-09-24T07:07:54.675204+00:00
45.74.31.22,46771,socks5,NL,elite,3159,0.0,23.0,2026-09-24T07:07:54.851240+00:00
45.74.31.50,12875,socks5,NL,anonymous,1866,,22.3,2026-09-24T07:07:54.699929+00:00
45.74.31.50,9052,socks5,NL,elite,2592,0.1,22.3,2026-09-24T07:07:54.851838+00:00
45.74.31.41,4803,socks5,NL,elite,1839,,21.8,2026-09-24T07:07:54.852950+00:00
45.74.31.25,6924,socks5,NL,anonymous,2223,0.1,21.3,2026-09-24T07:07:54.698314+00:00
45.74.31.25,48153,socks5,NL,anonymous,8579,0.0,21.2,2026-09-24T07:07:54.852862+00:00
89.237.35.145,51549,socks4,RU,anonymous,1842,,21.0,2026-09-24T07:07:54.667311+00:00
45.74.31.47,21587,socks5,NL,anonymous,2713,,20.1,2026-09-24T07:07:54.851641+00:00
85.133.250.27,80,http,IR,elite,730,0.2,19.6,2026-09-24T07:07:54.688402+00:00
195.135.255.98,1080,socks5,LV,elite,769,0.2,19.6,2026-09-24T07:07:54.699356+00:00
43.156.153.104,8081,http,SG,anonymous,1601,0.1,19.6,2026-09-24T07:07:54.687391+00:00
109.123.251.109,1080,socks5,FR,elite,2178,,19.6,2026-09-24T07:07:54.700785+00:00
154.59.56.74,999,http,VE,anonymous,6098,0.0,19.6,2026-09-24T07:07:54.692900+00:00
102.222.145.8,1080,socks4,KE,elite,2222,,19.3,2026-09-24T07:07:54.676264+00:00
